125 75
1 26 51
2 26 52
3 26 53
4 26 54
5 26 55
6 27 51
7 27 52
8 27 53
9 27 54
10 27 55
11 28 51
12 28 52
13 28 53
14 28 54
15 28 55
16 29 51
17 29 52
18 29 53
19 29 54
20 29 55
21 30 51
22 30 52
23 30 53
24 30 54
25 30 55
1 31 56
2 31 57
3 31 58
4 31 59
5 31 60
6 32 56
7 32 57
8 32 58
9 32 59
10 32 60
11 33 56
12 33 57
13 33 58
14 33 59
15 33 60
16 34 56
17 34 57
18 34 58
19 34 59
20 34 60
21 35 56
22 35 57
23 35 58
24 35 59
25 35 60
1 36 61
2 36 62
3 36 63
4 36 64
5 36 65
6 37 61
7 37 62
8 37 63
9 37 64
10 37 65
11 38 61
12 38 62
13 38 63
14 38 64
15 38 65
16 39 61
17 39 62
18 39 63
19 39 64
20 39 65
21 40 61
22 40 62
23 40 63
24 40 64
25 40 65
1 41 66
2 41 67
3 41 68
4 41 69
5 41 70
6 42 66
7 42 67
8 42 68
9 42 69
10 42 70
11 43 66
12 43 67
13 43 68
14 43 69
15 43 70
16 44 66
17 44 67
18 44 68
19 44 69
20 44 70
21 45 66
22 45 67
23 45 68
24 45 69
25 45 70
1 46 71
2 46 72
3 46 73
4 46 74
5 46 75
6 47 71
7 47 72
8 47 73
9 47 74
10 47 75
11 48 71
12 48 72
13 48 73
14 48 74
15 48 75
16 49 71
17 49 72
18 49 73
19 49 74
20 49 75
21 50 71
22 50 72
23 50 73
24 50 74
25 50 75
