225 84 30
1 16 44
1 17 45 58
1 18 46 59
1 19 47 60
1 20 48 61
1 21 49 62
1 22 50 63
1 23 51 64
1 24 52 65
1 25 53 66
1 26 54 67
1 27 55 68
1 28 56 69
1 29 57 70
1 30 71
2 16 43 58
2 17 44 59
2 18 45 60
2 19 46 61
2 20 47 62
2 21 48 63
2 22 49 64
2 23 50 65
2 24 51 66
2 25 52 67
2 26 53 68
2 27 54 69
2 28 55 70
2 29 56 71
2 30 57 72
3 16 42 59
3 17 43 60
3 18 44 61
3 19 45 62
3 20 46 63
3 21 47 64
3 22 48 65
3 23 49 66
3 24 50 67
3 25 51 68
3 26 52 69
3 27 53 70
3 28 54 71
3 29 55 72
3 30 56 73
4 16 41 60
4 17 42 61
4 18 43 62
4 19 44 63
4 20 45 64
4 21 46 65
4 22 47 66
4 23 48 67
4 24 49 68
4 25 50 69
4 26 51 70
4 27 52 71
4 28 53 72
4 29 54 73
4 30 55 74
5 16 40 61
5 17 41 62
5 18 42 63
5 19 43 64
5 20 44 65
5 21 45 66
5 22 46 67
5 23 47 68
5 24 48 69
5 25 49 70
5 26 50 71
5 27 51 72
5 28 52 73
5 29 53 74
5 30 54 75
6 16 39 62
6 17 40 63
6 18 41 64
6 19 42 65
6 20 43 66
6 21 44 67
6 22 45 68
6 23 46 69
6 24 47 70
6 25 48 71
6 26 49 72
6 27 50 73
6 28 51 74
6 29 52 75
6 30 53 76
7 16 38 63
7 17 39 64
7 18 40 65
7 19 41 66
7 20 42 67
7 21 43 68
7 22 44 69
7 23 45 70
7 24 46 71
7 25 47 72
7 26 48 73
7 27 49 74
7 28 50 75
7 29 51 76
7 30 52 77
8 16 37 64
8 17 38 65
8 18 39 66
8 19 40 67
8 20 41 68
8 21 42 69
8 22 43 70
8 23 44 71
8 24 45 72
8 25 46 73
8 26 47 74
8 27 48 75
8 28 49 76
8 29 50 77
8 30 51 78
9 16 36 65
9 17 37 66
9 18 38 67
9 19 39 68
9 20 40 69
9 21 41 70
9 22 42 71
9 23 43 72
9 24 44 73
9 25 45 74
9 26 46 75
9 27 47 76
9 28 48 77
9 29 49 78
9 30 50 79
10 16 35 66
10 17 36 67
10 18 37 68
10 19 38 69
10 20 39 70
10 21 40 71
10 22 41 72
10 23 42 73
10 24 43 74
10 25 44 75
10 26 45 76
10 27 46 77
10 28 47 78
10 29 48 79
10 30 49 80
11 16 34 67
11 17 35 68
11 18 36 69
11 19 37 70
11 20 38 71
11 21 39 72
11 22 40 73
11 23 41 74
11 24 42 75
11 25 43 76
11 26 44 77
11 27 45 78
11 28 46 79
11 29 47 80
11 30 48 81
12 16 33 68
12 17 34 69
12 18 35 70
12 19 36 71
12 20 37 72
12 21 38 73
12 22 39 74
12 23 40 75
12 24 41 76
12 25 42 77
12 26 43 78
12 27 44 79
12 28 45 80
12 29 46 81
12 30 47 82
13 16 32 69
13 17 33 70
13 18 34 71
13 19 35 72
13 20 36 73
13 21 37 74
13 22 38 75
13 23 39 76
13 24 40 77
13 25 41 78
13 26 42 79
13 27 43 80
13 28 44 81
13 29 45 82
13 30 46 83
14 16 31 70
14 17 32 71
14 18 33 72
14 19 34 73
14 20 35 74
14 21 36 75
14 22 37 76
14 23 38 77
14 24 39 78
14 25 40 79
14 26 41 80
14 27 42 81
14 28 43 82
14 29 44 83
14 30 45 84
15 16 71
15 17 31 72
15 18 32 73
15 19 33 74
15 20 34 75
15 21 35 76
15 22 36 77
15 23 37 78
15 24 38 79
15 25 39 80
15 26 40 81
15 27 41 82
15 28 42 83
15 29 43 84
15 30 44
