64 42 16
1 9 23
1 10 24 30
1 11 25 31
1 12 26 32
1 13 27 33
1 14 28 34
1 15 29 35
1 16 36
2 9 22 30
2 10 23 31
2 11 24 32
2 12 25 33
2 13 26 34
2 14 27 35
2 15 28 36
2 16 29 37
3 9 21 31
3 10 22 32
3 11 23 33
3 12 24 34
3 13 25 35
3 14 26 36
3 15 27 37
3 16 28 38
4 9 20 32
4 10 21 33
4 11 22 34
4 12 23 35
4 13 24 36
4 14 25 37
4 15 26 38
4 16 27 39
5 9 19 33
5 10 20 34
5 11 21 35
5 12 22 36
5 13 23 37
5 14 24 38
5 15 25 39
5 16 26 40
6 9 18 34
6 10 19 35
6 11 20 36
6 12 21 37
6 13 22 38
6 14 23 39
6 15 24 40
6 16 25 41
7 9 17 35
7 10 18 36
7 11 19 37
7 12 20 38
7 13 21 39
7 14 22 40
7 15 23 41
7 16 24 42
8 9 36
8 10 17 37
8 11 18 38
8 12 19 39
8 13 20 40
8 14 21 41
8 15 22 42
8 16 23
