64 64 64
1 17 33 49
2 17 37 49
3 17 41 53
4 17 45 53
5 21 33 49
6 21 37 49
7 21 41 53
8 21 45 53
9 25 33 57
10 25 37 57
11 25 41 61
12 25 45 61
13 29 33 57
14 29 37 57
15 29 41 61
16 29 45 61
1 18 34 50
2 18 38 50
3 18 42 54
4 18 46 54
5 22 34 50
6 22 38 50
7 22 42 54
8 22 46 54
9 26 34 58
10 26 38 58
11 26 42 62
12 26 46 62
13 30 34 58
14 30 38 58
15 30 42 62
16 30 46 62
1 19 35 51
2 19 39 51
3 19 43 55
4 19 47 55
5 23 35 51
6 23 39 51
7 23 43 55
8 23 47 55
9 27 35 59
10 27 39 59
11 27 43 63
12 27 47 63
13 31 35 59
14 31 39 59
15 31 43 63
16 31 47 63
1 20 36 52
2 20 40 52
3 20 44 56
4 20 48 56
5 24 36 52
6 24 40 52
7 24 44 56
8 24 48 56
9 28 36 60
10 28 40 60
11 28 44 64
12 28 48 64
13 32 36 60
14 32 40 60
15 32 44 64
16 32 48 64
